p_id,wave_num,time_glbcc
Nm-W100208,3,12
Nm-W100227,3,9
Nm-W100344,3,20
Nm-W100639,3,14
Nm-W100663,3,26
Nm-W100670,3,19
Nm-W100680,3,10
Nm-W101178,3,16
Nm-W101195,3,24
Nm-W101198,3,8
Nm-W101274,3,8
Nm-W101303,3,12
Nm-W101304,3,41
Nm-W101412,3,8
Nm-W101497,3,8
Nm-W101857,3,11
Nm-W101975,3,14
Nm-W102174,3,17
Nm-W102250,3,23
Nm-W102266,3,12
Nm-W102281,3,250
Nm-W102301,3,12
Nm-W102321,3,9
Nm-W102346,3,6
Nm-W102350,3,17
Nm-W102452,3,20
Nm-W102467,3,7
Nm-W102541,3,12
Nm-W102613,3,22
Nm-W102619,3,21
Nm-W102744,3,19
Nm-W102745,3,10
Nm-W102791,3,17
Nm-W102821,3,11
Nm-W103014,3,10
Nm-W103021,3,11
Nm-W103108,3,30
Nm-W103350,3,48
Nm-W103379,3,21
Nm-W103390,3,18
Nm-W103464,3,45
Nm-W103471,3,22
Nm-W103482,3,12
Nm-W103511,3,16
Nm-W103582,3,7
Nm-W103598,3,13
Nm-W103599,3,21
Nm-W103617,3,10
Nm-W103825,3,8
Nm-W104213,3,40
Nm-W104251,3,16
Nm-W104293,3,17
Nm-W104427,3,21
Nm-W104433,3,7
Nm-W104542,3,10
Nm-W104613,3,20
Nm-W104636,3,13
Nm-W104643,3,18
Nm-W104671,3,14
Nm-W104677,3,15
Nm-W104713,3,8
Nm-W104741,3,17
Nm-W104813,3,15
Nm-W104956,3,18
Nm-W105065,3,8
Nm-W105114,3,15
Nm-W105262,3,14
Nm-W105277,3,19
Nm-W105364,3,19
Nm-W105399,3,18
Nm-W105561,3,7
Nm-W105586,3,33
Nm-W105715,3,19
Nm-W105729,3,26
Nm-W105872,3,12
Nm-W105946,3,20
Nm-W106004,3,13
Nm-W106069,3,11
Nm-W106233,3,48
Nm-W106354,3,9
Nm-W106556,3,17
Nm-W106597,3,29
Nm-W106652,3,41
Nm-W106713,3,14
Nm-W106830,3,9
Nm-W107190,3,144
Nm-W107197,3,9
Nm-W107209,3,9
Nm-W107455,3,16
Nm-W107463,3,16
Nm-W107554,3,8
Nm-W107720,3,39
Nm-W107833,3,18
Nm-W107987,3,27
Nm-W108096,3,7
Nm-W108107,3,12
Nm-W108410,3,13
Nm-W108424,3,9
Nm-W108506,3,9
Nm-W108666,3,7
Nm-W108692,3,19
Nm-W108696,3,10
Nm-W108782,3,18
Nm-W108855,3,8
Nm-W108891,3,19
Nm-W109078,3,8
Nm-W109137,3,45
Nm-W109217,3,18
Nm-W109322,3,4219
Nm-W109488,3,67
Nm-W109506,3,76
Nm-W109574,3,16
Nm-W109657,3,20
Nm-W109706,3,23
Nm-W109710,3,7
Nm-W109714,3,20
Nm-W109766,3,7
Nm-W109787,3,13
Nm-W109907,3,24
Nm-W109934,3,23
Nm-W109939,3,17
Nm-W110095,3,21
Nm-W110244,3,14
Nm-W110478,3,11
Nm-W111383,3,63
Nm-W112023,3,8
Nm-W112653,3,11
Nm-W112732,3,14
Nm-W113825,3,9
Nm-W114097,3,16
Nm-W114754,3,10
Nm-W115827,3,20
Nm-W116437,3,24
Nm-W116990,3,24
Nm-W117020,3,13
Nm-W117165,3,45
Nm-W117453,3,17
Nm-W118061,3,27
Nm-W118584,3,13
Nm-W118650,3,17
Nm-W120284,3,12
Nm-W121084,3,12
Nm-W121571,3,21
Nm-W121810,3,22
Nm-W122156,3,8
Nm-W122306,3,7
Nm-W122374,3,28
Nm-W123169,3,11
Nm-W123691,3,12
Nm-W124626,3,7
Nm-W124806,3,27
Nm-W124831,3,17
Nm-W125209,3,34
Nm-W125789,3,16
Nm-W126329,3,26
Nm-W126598,3,31
Nm-W126721,3,12
Nm-W127356,3,8
Nm-W128031,3,37
Nm-W128051,3,28
Nm-W128134,3,57
Nm-W128343,3,17
Nm-W128576,3,13
Nm-W128831,3,7
Nm-W128880,3,31
Nm-W129050,3,16
Nm-W129504,3,31
NmW100917,3,30
NmW103348,3,10
NmW104925,3,104
NmW107506,3,8
Ph-W100032,3,39
Ph-W100067,3,13
Ph-W100202,3,9
Ph-W100209,3,15
Ph-W100283,3,13
Ph-W100297,3,25
Ph-W100312,3,22
Ph-W100348,3,33
Ph-W100388,3,20
Ph-W100454,3,17
Ph-W100471,3,14
